population,w,c1,c2,best_fitness,x,y,z,time
100,0.6,1.5,1.5,2.0,124.99994808203023,1.2700842607254212,-1.2479915106839868e-09,5.036303758621216
100,0.6,1.5,2.0,2.0,125.00004695240594,1.2700418860179974,1.0102896148280997e-08,5.041699171066284
100,0.6,2.0,0.5,2.0,125.00005926132579,1.269910936182014,9.250437256600158e-09,5.058845043182373
100,0.6,2.0,1.0,2.0,124.99995423413941,1.2699972222552465,1.4458531008846991e-09,5.05684494972229
100,0.6,2.0,1.5,2.0,124.999986540031,1.2701001620759191,2.6092597603252486e-09,5.073494911193848
100,0.6,2.0,2.0,2.0,125.00010020568475,1.2700194859461071,-5.290011394270112e-09,5.0947229862213135
100,0.7,0.5,1.0,2.0,124.99994507413602,1.2699122622817944,1.3966910041925757e-09,4.950484991073608
100,0.7,0.5,1.5,2.0,124.9999236342735,1.2700654961197368,7.344672782897818e-09,4.944919109344482
100,0.7,0.5,2.0,2.0,125.00004410969736,1.2699671108375008,8.936223043818003e-09,4.936746835708618
100,0.7,1.0,0.5,2.0,125.00003814745348,1.2700982248733108,3.6383958944230396e-09,5.071202993392944
100,0.7,1.0,1.0,2.0,125.0000081656019,1.270103330333495,5.042166762134744e-09,5.002824068069458
100,0.7,1.0,1.5,2.0,125.00001080820357,1.2699140496144632,-7.682680360172703e-09,4.9881768226623535
100,0.7,1.0,2.0,2.0,124.99995119622477,1.270063233845295,-4.3820914180772896e-10,5.001119136810303
100,0.7,1.5,0.5,2.0,124.99997435651025,1.2699769954087172,2.9984913055254813e-09,5.0476768016815186
100,0.7,1.5,1.0,2.0,124.99994418083013,1.2699108614135428,-4.054938185444853e-09,5.040830850601196
100,0.7,1.5,1.5,2.0,125.00009709665547,1.2700284240968944,3.9762926804627625e-09,5.0751519203186035
100,0.7,1.5,2.0,2.0,124.999973950706,1.269952718130384,8.49200357967855e-09,6.551460266113281
100,0.7,2.0,0.5,2.0,125.00009026344785,1.2699587712729141,-5.773639313813478e-09,7.49230694770813
100,0.7,2.0,1.0,2.0,124.99991363055156,1.2700242304654072,-9.272013365101206e-09,6.503377199172974
100,0.7,2.0,1.5,2.0,124.9999606615106,1.2699756783435376,3.2742529993626917e-10,6.287324905395508
100,0.7,2.0,2.0,2.0,124.9999152641901,1.2699988664586364,8.144184585632706e-09,5.741029977798462
100,0.8,0.5,0.5,2.0,125.00007791586351,1.2699276254166199,6.215806410971375e-09,5.2543418407440186
100,0.8,0.5,1.0,2.0,124.99997246023761,1.2700989816695432,-2.926199979633053e-09,5.3299720287323
100,0.8,0.5,1.5,2.0,124.99996471978446,1.270101173336138,2.383744851495128e-09,5.324868202209473
100,0.8,0.5,2.0,2.0,124.9999785265853,1.2699799711216906,-5.291821309618128e-09,4.957365036010742
100,0.8,1.0,0.5,2.0,124.99989693999358,1.2700003837975766,-9.472015579373893e-09,5.33586573600769
100,0.8,1.0,1.0,2.0,124.99991630544335,1.2699440600797691,-8.94585184639977e-09,5.998338937759399
100,0.8,1.0,1.5,2.0,124.99998664493094,1.2699903173690212,-2.95766895935469e-09,5.4523701667785645
100,0.8,1.0,2.0,2.0,125.00002982683847,1.2699981119063386,-3.873137209441448e-09,5.485769271850586
100,0.8,1.5,0.5,2.0,125.00000890565639,1.2699087022494726,-2.701157107535062e-09,5.026077032089233
100,0.8,1.5,1.0,2.0,124.99991263624175,1.2700067817842995,7.964514568078392e-09,5.041894197463989
100,0.8,1.5,1.5,2.0,124.99993454932577,1.2700591008855089,-1.0188932056628683e-08,5.053122043609619
100,0.8,1.5,2.0,2.0,125.00005115111108,1.2700086180088124,6.200362737854707e-09,5.333071947097778
100,0.8,2.0,0.5,2.0,125.0000626404536,1.2699921700940506,2.778581230929375e-10,5.042926073074341
100,0.8,2.0,1.0,2.0,125.0000270030456,1.2700449501858204,-9.553471887527496e-09,5.193428993225098
100,0.8,2.0,1.5,2.0,124.9999077234815,1.2699877659281984,1.9453372041919166e-09,5.0559821128845215
100,0.8,2.0,2.0,2.0,124.9999216149322,1.270030040229998,-8.060892067543374e-09,5.3872230052948
100,0.9,0.5,0.5,2.0,124.99997060938998,1.269923294618132,4.7290584723254345e-09,4.999448776245117
100,0.9,0.5,1.0,2.0,124.99991425475604,1.2699871610431281,-7.121412062810504e-09,4.98439621925354
100,0.9,0.5,1.5,2.0,124.99997081904485,1.2700404171995223,-3.897230795743288e-09,4.9496800899505615
100,0.9,0.5,2.0,2.0,124.99999365738569,1.2699095738103356,-2.950354539122095e-09,4.9996209144592285
100,0.9,1.0,0.5,2.0,124.999988653493,1.2700699543574614,3.16334094521121e-09,5.067626953125
100,0.9,1.0,1.0,2.0,124.999950390434,1.2699856781433454,1.4711690111702508e-09,5.036210060119629
100,0.9,1.0,1.5,2.0,124.99991807572566,1.2699601716042652,1.0252652651374928e-08,5.206232070922852
100,0.9,1.5,0.5,2.0,124.99999470879754,1.2699115533395091,5.098996355200524e-09,5.069659948348999
100,0.9,1.5,1.0,2.0,125.00009712094027,1.269968245641206,9.041534081214299e-10,5.048901081085205
100,0.9,1.5,1.5,2.0,125.00005199624029,1.2699140970645828,6.002189265727372e-09,5.688631057739258
