dataset,noise_rate,ccp_alpha,total_impurity,seed,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,0.1,0.0,0.011111111111111112,42,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,0.1,0.005555555555555555,0.016666666666666666,42,0.9888888888888889,0.7666666666666667,0.6333333333333333,0.988474913065077,0.7662489557226401,0.623614663256607,8,16,31,0.058823529411764705,0.3555555555555556
iris,0.1,0.006089743589743585,0.041025641025641005,42,0.9777777777777777,0.7666666666666667,0.6333333333333333,0.9769841269841271,0.7662489557226401,0.623614663256607,6,12,23,0.07692307692307693,0.34444444444444444
iris,0.1,0.007168458781362002,0.06253101736972701,42,0.9666666666666667,0.8,0.6333333333333333,0.9660178804246602,0.8000000000000002,0.623614663256607,6,9,17,0.1,0.33333333333333337
iris,0.1,0.011111111111111112,0.07364212848083812,42,0.9555555555555556,0.8,0.6,0.9550057222471016,0.8000000000000002,0.5844444444444444,5,8,15,0.1111111111111111,0.3555555555555556
iris,0.1,0.013561253561253567,0.10076463560334525,42,0.9444444444444444,0.8,0.6333333333333333,0.9436063218390803,0.8013366750208855,0.6204655248133509,3,6,11,0.14285714285714285,0.3111111111111111
iris,0.1,0.01823178016726404,0.11899641577060929,42,0.9333333333333333,0.8333333333333334,0.6666666666666666,0.9328898908092361,0.8356902356902357,0.6579365079365079,3,5,9,0.16666666666666666,0.2666666666666667
iris,0.1,0.02016129032258066,0.13915770609318995,42,0.9222222222222223,0.8333333333333334,0.6666666666666666,0.9216783130141738,0.8356902356902357,0.6579365079365079,3,4,7,0.2,0.25555555555555565
iris,0.1,0.0213991769547325,0.16055688304792246,42,0.9111111111111111,0.8666666666666667,0.7333333333333333,0.9102011494252874,0.869023569023569,0.7331296154825567,2,3,5,0.25,0.1777777777777778
iris,0.1,0.22402166101338022,0.38457854406130265,42,0.6555555555555556,0.6333333333333333,0.6333333333333333,0.5297284644194756,0.5185185185185185,0.5079365079365079,1,2,3,0.3333333333333333,0.022222222222222254
iris,0.1,0.2803597275436357,0.6649382716049383,42,0.35555555555555557,0.3333333333333333,0.36666666666666664,0.17486338797814208,0.16666666666666666,0.17886178861788618,0,1,1,0.5,-0.011111111111111072
iris,0.1,0.0,0.0,7,1.0,0.7333333333333333,0.6,1.0,0.738218094255246,0.6019426289034132,7,20,39,0.047619047619047616,0.4
iris,0.1,0.005333333333333332,0.02133333333333333,7,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.9886875659093087,0.7671781756180733,0.667280701754386,7,16,31,0.058823529411764705,0.3222222222222223
iris,0.1,0.009876543209876543,0.05096296296296296,7,0.9666666666666667,0.7666666666666667,0.7,0.9667862275745862,0.7671781756180733,0.7031303749570004,6,13,25,0.07142857142857142,0.2666666666666667
iris,0.1,0.010022988505747121,0.0710089399744572,7,0.9555555555555556,0.7666666666666667,0.7666666666666667,0.9551005747126436,0.7671781756180733,0.763432645785587,6,11,21,0.08333333333333333,0.18888888888888888
iris,0.1,0.010195141377937079,0.10159436410826844,7,0.9444444444444444,0.8,0.8666666666666667,0.9438813656599501,0.8016835016835017,0.8664160401002506,4,8,15,0.1111111111111111,0.07777777777777772
iris,0.1,0.011111111111111112,0.11270547521937956,7,0.9333333333333333,0.8,0.8666666666666667,0.9319519463587261,0.8016835016835017,0.8664160401002506,4,7,13,0.125,0.06666666666666665
iris,0.1,0.0201021711366539,0.13280764635603345,7,0.9222222222222223,0.8,0.8666666666666667,0.9212301587301588,0.8016835016835017,0.8664160401002506,4,6,11,0.14285714285714285,0.05555555555555558
iris,0.1,0.0205761316872428,0.17395990973051906,7,0.9,0.8,0.8666666666666667,0.8995427017673959,0.8016835016835017,0.8664160401002506,3,4,7,0.2,0.033333333333333326
iris,0.1,0.025643532095144986,0.19960344182566403,7,0.8888888888888888,0.8,0.9,0.889367816091954,0.8038277511961723,0.8995215311004784,2,3,5,0.25,-0.011111111111111183
iris,0.1,0.20595211372989158,0.4055555555555556,7,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.5301250473664266,0.5308432371250708,0.5523486134691568,1,2,3,0.3333333333333333,-0.033333333333333326
iris,0.1,0.2603703703703703,0.6659259259259259,7,0.34444444444444444,0.3333333333333333,0.36666666666666664,0.17079889807162532,0.16666666666666666,0.17886178861788618,0,1,1,0.5,-0.0222222222222222
