method,n_clusters_requested,n_clusters_found,random_state,fit_time_ms,int_silhouette,int_calinski_harabasz,int_davies_bouldin,int_dunn,int_wcss,int_bcss,ext_ari,ext_nmi,ext_fmi,ext_homogeneity,ext_completeness,ext_v_measure,dataset,k,true_k,seed
gmm,2,2,7,21.005163000154425,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,7
adaptive,2,2,7,12.730020000162767,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
kmeans,2,2,13,5.887894998522825,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
isodata,2,3,13,6.9161600004008505,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,2,5,13
minibatch_kmeans,2,2,13,9.265830998629099,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
bisecting_kmeans,2,2,13,3.3720290011842735,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
gmm,2,2,13,29.265822000525077,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,13
adaptive,2,2,13,29.321960999368457,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,13
kmeans,3,3,42,19.739053001103457,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
isodata,3,4,42,2.5924019992089598,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,3,5,42
minibatch_kmeans,3,3,42,13.793305999570293,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
bisecting_kmeans,3,3,42,2.620024999487214,0.615832686417644,927.9916922457077,0.43748947582106323,0.6708570607432776,211.22121102755852,788.7787889724417,0.48074921956295524,0.7424834172925048,0.6723502022908507,0.5904362833084089,1.0000000000000002,0.7424834172925049,blobs,3,5,42
gmm,3,3,42,90.65519400064659,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
adaptive,3,3,42,16.678038000463857,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,3,5,42
